mes;ano;frota
1;2003;3.375.449
2;2003;3.389.537
3;2003;3.399.112
4;2003;3.409.262
5;2003;3.419.183
6;2003;3.428.403
7;2003;3.438.558
8;2003;3.447.751
9;2003;3.458.335
10;2003;3.468.131
11;2003;3.477.874
12;2003;3.492.454
1;2004;3.501.903
2;2004;3.514.730
3;2004;3.527.136
4;2004;3.535.791
5;2004;3.546.425
6;2004;3.557.211
7;2004;3.568.584
8;2004;3.577.726
9;2004;3.591.073
10;2004;3.602.025
11;2004;3.612.854
12;2004;3.624.788
1;2005;3.637.209
2;2005;3.647.022
3;2005;3.659.202
4;2005;3.670.145
5;2005;3.681.060
6;2005;3.692.305
7;2005;3.703.869
8;2005;3.716.878
9;2005;3.729.360
10;2005;3.740.736
11;2005;
12;2005;3.769.049
1;2006;3.782.168
2;2006;3.794.817
3;2006;3.806.664
4;2006;3.819.282
5;2006;3.834.290
6;2006;3.847.046
7;2006;3.861.030
8;2006;3.875.668
9;2006;3.890.299
10;2006;3.904.886
11;2006;3.920.313
12;2006;3.937.908
1;2007;3.954.731
2;2007;3.968.159
3;2007;3.986.714
4;2007;4.003.315
5;2007;4.024.789
6;2007;4.043.948
7;2007;4.064.461
8;2007;4.087.100
9;2007;4.108.194
10;2007;4.131.237
11;2007;4.152.950
12;2007;4.176.005
1;2008;4.201.020
2;2008;4.220.015
3;2008;4.241.508
4;2008;4.258.851
5;2008;4.282.236
6;2008;4.308.980
7;2008;4.337.812
8;2008;4.362.764
9;2008;4.388.289
10;2008;4.404.969
11;2008;4.425.055
12;2008;4.440.653
1;2009;4.460.310
2;2009;4.478.759
3;2009;4.500.726
4;2009;4.521.544
5;2009;4.544.966
6;2009;4.570.390
7;2009;4.594.099
8;2009;4.616.001
9;2009;4.642.164
10;2009;4.669.170
11;2009;4.691.185
12;2009;4.715.917
1;2010;4.738.780
2;2010;4.760.023
3;2010;4.792.220
4;2010;4.818.401
5;2010;4.843.871
6;2010;4.868.158
7;2010;4.895.676
8;2010;4.924.301
9;2010;4.953.583
10;2010;4.979.045
11;2010;5.007.368
12;2010;5.042.257
1;2011;5.066.875
2;2011;5.094.042
3;2011;5.119.299
4;2011;5.145.684
5;2011;5.175.286
6;2011;5.206.998
7;2011;5.237.591
8;2011;5.269.794
9;2011;5.301.433
10;2011;5.329.368
11;2011;5.359.909
12;2011;5.392.255
1;2012;5.419.138
2;2012;5.444.564
3;2012;5.473.837
4;2012;5.499.964
5;2012;5.528.747
6;2012;5.559.427
7;2012;5.595.658
8;2012;5.632.718
9;2012;5.664.743
10;2012;5.696.219
11;2012;5.725.361
12;2012;5.756.786
1;2013;5.788.294
2;2013;5.810.489
3;2013;5.834.800
4;2013;5.864.871
5;2013;5.895.402
6;2013;5.923.833
7;2013;5.954.442
8;2013;5.985.829
9;2013;6.015.464
10;2013;6.044.406
11;2013;6.075.218
12;2013;6.107.251
1;2014;6.138.605
2;2014;6.167.267
3;2014;6.191.481
4;2014;6.218.048
5;2014;6.248.028
6;2014;6.272.573
7;2014;6.299.156
8;2014;6.328.615
9;2014;6.358.228
10;2014;6.388.225
11;2014;6.417.930
12;2014;6.448.611
1;2015;6.477.703
2;2015;6.496.515
3;2015;6.519.712
4;2015;6.541.474
5;2015;6.563.862
6;2015;6.585.071
7;2015;6.608.464
8;2015;6.630.082
9;2015;6.650.956
10;2015;6.671.385
11;2015;6.691.833
12;2015;6.712.034
1;2016;6.728.472
2;2016;6.744.515
3;2016;6.761.766
4;2016;6.777.853
5;2016;6.793.972
6;2016;6.810.142
7;2016;6.827.428
8;2016;6.843.101
9;2016;6.857.407
10;2016;6.870.562
11;2016;6.884.532
12;2016;6.896.596
1;2017;6.908.401
2;2017;6.918.585
3;2017;6.932.353
4;2017;6.944.629
5;2017;6.958.268
6;2017;6.971.928
7;2017;6.984.249
8;2017;7.000.477
9;2017;7.013.301
10;2017;7.022.286
11;2017;7.034.584
12;2017;7.048.853
1;2018;7.064.020
2;2018;7.073.542
3;2018;7.088.845
4;2018;7.104.176
5;2018;7.119.438
6;2018;7.133.668
7;2018;7.148.084
8;2018;7.165.091
9;2018;7.179.648
10;2018;7.197.590
11;2018;7.212.012
12;2018;7.228.221
1;2019;7.245.180
2;2019;7.258.960
3;2019;7.273.223
4;2019;7.290.899
5;2019;7.312.410
6;2019;7.330.561
7;2019;7.352.688
8;2019;7.372.896
9;2019;7.391.881
10;2019;7.411.529
11;2019;7.429.342
12;2019;7.446.801
1;2020;7.465.532
2;2020;7.479.924
3;2020;7.492.700
4;2020;7.493.498
5;2020;7.494.662
6;2020;7.496.076
7;2020;7.503.528
8;2020;7.516.943
9;2020;7.535.198
10;2020;7.553.914
11;2020;7.567.972
12;2020;7.580.752
1;2021;7.608.791
2;2021;7.618.689
3;2021;7.638.811
4;2021;7.656.825
5;2021;7.677.246
6;2021;7.695.204
7;2021;7.713.657
8;2021;7.730.253
9;2021;7.745.549
10;2021;7.759.404
11;2021;7.772.636
12;2021;7.785.375
1;2022;7.799.047
2;2022;7.811.407
3;2022;7.823.450
4;2022;7.836.057
5;2022;7.850.861
6;2022;7.865.152
7;2022;7.883.512
8;2022;7.900.530
9;2022;7.916.127
10;2022;7.931.126
11;2022;7.944.961
12;2022;7.959.648
1;2023;7.974.121
2;2023;7.988.469
3;2023;8.006.378
4;2023;8.021.758
5;2023;8.048.530
