cod_munic;munic;pop_munic;ano
3300100;Angra dos Reis;119247;2000
3300159;Aperibé;8018;2000
3300209;Araruama;82803;2000
3300225;Areal;9899;2000
3300233;Armação dos Búzios;18204;2000
3300258;Arraial do Cabo;23877;2000
3300308;Barra do Piraí;88503;2000
3300407;Barra Mansa;170753;2000
3300456;Belford Roxo;434474;2000
3300506;Bom Jardim;22651;2000
3300605;Bom Jesus do Itabapoana;33655;2000
3300704;Cabo Frio;126828;2000
3300803;Cachoeiras de Macacu;48543;2000
3300902;Cambuci;14670;2000
3301009;Campos dos Goytacazes;406989;2000
3301108;Cantagalo;19835;2000
3300936;Carapebus;8666;2000
3301157;Cardoso Moreira;12595;2000
3301207;Carmo;15289;2000
3301306;Casimiro de Abreu;22152;2000
3300951;Comendador Levy Gasparian;7924;2000
3301405;Conceição de Macabu;18782;2000
3301504;Cordeiro;18601;2000
3301603;Duas Barras;10334;2000
3301702;Duque de Caxias;775456;2000
3301801;Engenheiro Paulo de Frontin;12164;2000
3301850;Guapimirim;37952;2000
3301876;Iguaba Grande;15089;2000
3301900;Itaboraí;187479;2000
3302007;Itaguaí;82003;2000
3302056;Italva;12621;2000
3302106;Itaocara;23003;2000
3302205;Itaperuna;86720;2000
3302254;Itatiaia;24739;2000
3302270;Japeri;83278;2000
3302304;Laje do Muriaé;7909;2000
3302403;Macaé;132461;2000
3302452;Macuco;4886;2000
3302502;Magé;205830;2000
3302601;Mangaratiba;24901;2000
3302700;Maricá;76737;2000
3302809;Mendes;17289;2000
3302858;Mesquita;168041;2000
3302908;Miguel Pereira;23902;2000
3303005;Miracema;27064;2000
3303104;Natividade;15125;2000
3303203;Nilópolis;153712;2000
3303302;Niterói;459451;2000
3303401;Nova Friburgo;173418;2000
3303500;Nova Iguaçu;764879;2000
3303609;Paracambi;40475;2000
3303708;Paraíba do Sul;37410;2000
3303807;Paraty;29544;2000
3303856;Paty do Alferes;24931;2000
3303906;Petrópolis;286537;2000
3303955;Pinheiral;19481;2000
3304003;Piraí;22118;2000
3304102;Porciúncula;15952;2000
3304110;Porto Real;12095;2000
3304128;Quatis;10730;2000
3304144;Queimados;121993;2000
3304151;Quissamã;13674;2000
3304201;Resende;104549;2000
3304300;Rio Bonito;49691;2000
3304409;Rio Claro;16228;2000
3304508;Rio das Flores;7625;2000
3304524;Rio das Ostras;36419;2000
3304557;Rio de Janeiro;5857904;2000
3304607;Santa Maria Madalena;10476;2000
3304706;Santo Antônio de Pádua;38692;2000
3304805;São Fidélis;36789;2000
3304755;São Francisco de Itabapoana;41145;2000
3304904;São Gonçalo;891119;2000
3305000;São João da Barra;27682;2000
3305109;São João de Meriti;449476;2000
3305133;São José de Ubá;6413;2000
3305158;São José do Vale do Rio Preto;19278;2000
3305208;São Pedro da Aldeia;63227;2000
3305307;São Sebastião do Alto;8402;2000
3305406;Sapucaia;17157;2000
3305505;Saquarema;52461;2000
3305554;Seropédica;65260;2000
3305604;Silva Jardim;21265;2000
3305703;Sumidouro;14176;2000
3305752;Tanguá;26057;2000
3305802;Teresópolis;138081;2000
3305901;Trajano de Moraes;10038;2000
3306008;Três Rios;71976;2000
3306107;Valença;66308;2000
3306156;Varre-Sai;7854;2000
3306206;Vassouras;31451;2000
3306305;Volta Redonda;242063;2000
3300100;Angra dos Reis;123516;2001
3300159;Aperibé;8214;2001
3300209;Araruama;85343;2001
3300225;Areal;10042;2001
3300233;Armação dos Búzios;18975;2001
3300258;Arraial do Cabo;24236;2001
3300308;Barra do Piraí;89111;2001
3300407;Barra Mansa;171446;2001
3300456;Belford Roxo;437840;2001
3300506;Bom Jardim;22906;2001
3300605;Bom Jesus do Itabapoana;33827;2001
3300704;Cabo Frio;131795;2001
3300803;Cachoeiras de Macacu;49088;2001
3300902;Cambuci;14686;2001
3301009;Campos dos Goytacazes;412336;2001
3301108;Cantagalo;19834;2001
3300936;Carapebus;9049;2001
3301157;Cardoso Moreira;12595;2001
3301207;Carmo;15491;2001
3301306;Casimiro de Abreu;23212;2001
3300951;Comendador Levy Gasparian;7949;2001
3301405;Conceição de Macabu;19012;2001
3301504;Cordeiro;18776;2001
3301603;Duas Barras;10392;2001
3301702;Duque de Caxias;783070;2001
3301801;Engenheiro Paulo de Frontin;12267;2001
3301850;Guapimirim;39127;2001
3301876;Iguaba Grande;15728;2001
3301900;Itaboraí;190329;2001
3302007;Itaguaí;84377;2001
3302056;Italva;12758;2001
3302106;Itaocara;22993;2001
3302205;Itaperuna;87592;2001
3302254;Itatiaia;25116;2001
3302270;Japeri;84426;2001
3302304;Laje do Muriaé;7866;2001
3302403;Macaé;138490;2001
3302452;Macuco;4923;2001
3302502;Magé;207884;2001
3302601;Mangaratiba;25869;2001
3302700;Maricá;80731;2001
3302809;Mendes;17353;2001
3302858;Mesquita;168074;2001
3302908;Miguel Pereira;23975;2001
3303005;Miracema;27042;2001
3303104;Natividade;15121;2001
3303203;Nilópolis;154079;2001
3303302;Niterói;462188;2001
3303401;Nova Friburgo;174266;2001
3303500;Nova Iguaçu;767960;2001
3303609;Paracambi;41095;2001
3303708;Paraíba do Sul;37762;2001
