circ;mes;ano;pop_circ
1;1;2003;1545,224947
4;1;2003;29790,39489
5;1;2003;35656,9599
6;1;2003;76271,40405
7;1;2003;38659,03011
9;1;2003;128932,3901
10;1;2003;97517,5593
12;1;2003;86643,75095
13;1;2003;65618,56938
14;1;2003;83868,91722
15;1;2003;140125,9958
16;1;2003;287538,6982
17;1;2003;75855,80691
18;1;2003;63967,73702
19;1;2003;131628,4788
20;1;2003;154966,7332
21;1;2003;251500,0109
22;1;2003;226485,8215
23;1;2003;87133,48273
24;1;2003;91631,70638
25;1;2003;122746,1518
26;1;2003;109979,7736
27;1;2003;179448,6219
28;1;2003;162683,2366
29;1;2003;98969,42191
30;1;2003;118839,2528
31;1;2003;149548,4613
32;1;2003;348600,9981
33;1;2003;229545,43
34;1;2003;404325,3177
35;1;2003;598846,5039
36;1;2003;294678,9907
37;1;2003;200799,1171
38;1;2003;197212,4632
39;1;2003;166619,4185
40;1;2003;105399,8326
41;1;2003;135150,745
44;1;2003;112044,6869
48;1;2003;68281,05398
50;1;2003;88084,85915
51;1;2003;42045,91437
52;1;2003;173341,5475
53;1;2003;168124,689
54;1;2003;442944,003
55;1;2003;211987,7179
56;1;2003;257940,0018
57;1;2003;154632,1602
58;1;2003;341326,9464
59;1;2003;328175,9091
60;1;2003;263646,3293
61;1;2003;56222,51046
62;1;2003;146603,6661
64;1;2003;451758,2403
65;1;2003;121680,4799
66;1;2003;130294,7456
71;1;2003;221851,3843
72;1;2003;316582,4026
73;1;2003;153184,296
74;1;2003;200295,2829
75;1;2003;247077,6218
76;1;2003;73070,61116
77;1;2003;138558,1589
78;1;2003;120446,203
79;1;2003;69668,66048
81;1;2003;64583,17044
82;1;2003;87168,1533
88;1;2003;90032,65518
89;1;2003;108166,922
90;1;2003;172491,9253
91;1;2003;67651,42872
92;1;2003;7849,181938
93;1;2003;245907,7732
94;1;2003;43346,8284
95;1;2003;32166,5941
96;1;2003;49365,69171
97;1;2003;17448,33905
98;1;2003;12424,01107
99;1;2003;25694,69876
100;1;2003;24305,62849
104;1;2003;19516,88561
105;1;2003;245752,0381
106;1;2003;43102,4
107;1;2003;38297,26135
108;1;2003;91551,22233
109;1;2003;17248,28695
110;1;2003;144102,7203
111;1;2003;14353,71498
112;1;2003;15799,77086
118;1;2003;89317,88194
119;1;2003;51096,79727
120;1;2003;21285,96972
121;1;2003;24909,67205
122;1;2003;19362,50017
123;1;2003;172869,2742
124;1;2003;57233,36037
125;1;2003;68667,63754
126;1;2003;164443,0312
127;1;2003;20200,77769
128;1;2003;47659,94772
129;1;2003;16745,38235
134;1;2003;266456,6489
135;1;2003;22976,95688
136;1;2003;47676,8522
137;1;2003;27008,58416
138;1;2003;7801,374525
139;1;2003;16386,40192
140;1;2003;23345,89855
141;1;2003;36976,10322
142;1;2003;14709,09728
143;1;2003;121036,7771
144;1;2003;34085,8652
145;1;2003;28871,4908
146;1;2003;195244,3706
151;1;2003;175545,5208
152;1;2003;10479,9574
153;1;2003;19833,74988
154;1;2003;24021,80212
155;1;2003;8522,690884
156;1;2003;10437,03844
157;1;2003;10100,18417
158;1;2003;23294,30153
159;1;2003;49917,55963
165;1;2003;27400,02815
166;1;2003;130244,5017
167;1;2003;31369,86741
168;1;2003;16519,50375
1;2;2003;1546,207291
4;2;2003;29809,3335
5;2;2003;35679,62805
6;2;2003;76319,89197
7;2;2003;38683,60676
9;2;2003;129014,3561
10;2;2003;97579,554
12;2;2003;86698,83286
13;2;2003;65660,28498
14;2;2003;83922,23509
15;2;2003;140215,0779
16;2;2003;287721,4948
17;2;2003;75904,03062
18;2;2003;64008,40314
19;2;2003;131712,1588
20;2;2003;155065,25
21;2;2003;251659,8967
22;2;2003;226629,8051
23;2;2003;87188,87597
24;2;2003;91689,95928
25;2;2003;122824,185
26;2;2003;110049,6909
27;2;2003;179562,7025
28;2;2003;162786,659
29;2;2003;99032,33961
30;2;2003;118914,8023
31;2;2003;149643,5336
32;2;2003;348822,6137
33;2;2003;229691,3586
34;2;2003;404582,3588
35;2;2003;586896,7049
36;2;2003;294866,3265
37;2;2003;200926,7708
38;2;2003;197337,8368
39;2;2003;166725,3432
40;2;2003;105466,8383
41;2;2003;135236,6642
44;2;2003;112115,9169
48;2;2003;68384,81502
50;2;2003;88297,39251
51;2;2003;42099,61419
52;2;2003;173399,7401
53;2;2003;168127,4795
54;2;2003;443229,9708
55;2;2003;212216,441
56;2;2003;258026,595
57;2;2003;154662,9538
58;2;2003;341441,5335
59;2;2003;328444,426
60;2;2003;263862,0474
61;2;2003;56268,51231
62;2;2003;146723,6187
64;2;2003;451834,5709
65;2;2003;121852,8211
66;2;2003;130403,1202
71;2;2003;222135,6639
72;2;2003;316887,5593
73;2;2003;153331,9518
74;2;2003;200488,3494
75;2;2003;247315,7822
76;2;2003;73106,87966
77;2;2003;138626,9321
78;2;2003;120505,9863
79;2;2003;69703,24043
81;2;2003;64615,22621
82;2;2003;87546,26047
88;2;2003;90084,2259
89;2;2003;108290,2654
90;2;2003;172550,2802
91;2;2003;67696,80866
92;2;2003;7856,799411
93;2;2003;246037,2776
94;2;2003;43406,70169
95;2;2003;32190,80533
96;2;2003;49383,58412
97;2;2003;17453,68275
98;2;2003;12432,80039
99;2;2003;25727,36442
100;2;2003;24357,1963
104;2;2003;19524,91373
105;2;2003;245818,1111
106;2;2003;43113,98853
107;2;2003;38327,29945
108;2;2003;91610,44491
109;2;2003;17251,34057
110;2;2003;144309,1923
111;2;2003;14359,68793
112;2;2003;15817,17093
118;2;2003;89546,17525
119;2;2003;51144,53078
120;2;2003;21286,66917
121;2;2003;25008,97355
122;2;2003;19382,24403
123;2;2003;173516,9983
124;2;2003;57401,84026
125;2;2003;68859,14127
126;2;2003;164929,2969
127;2;2003;20272,06018
128;2;2003;48106,40178
129;2;2003;16804,51612
134;2;2003;266748,3611
135;2;2003;22976,08943
136;2;2003;47709,7836
137;2;2003;27006,73948
138;2;2003;7797,819496
139;2;2003;16401,14189
140;2;2003;23358,45099
141;2;2003;36982,36101
142;2;2003;14710,40282
143;2;2003;121127,8281
144;2;2003;34100,34898
145;2;2003;28912,25941
146;2;2003;195414,5425
151;2;2003;175617,0136
152;2;2003;10484,86808
153;2;2003;19833,70822
154;2;2003;24039,89802
155;2;2003;8526,752118
156;2;2003;10435,74293
157;2;2003;10102,26548
158;2;2003;23316,14621
159;2;2003;49964,23323
165;2;2003;27488,74873
166;2;2003;130633,0421
167;2;2003;31433,18933
168;2;2003;16529,33583
1;3;2003;1547,190259
4;3;2003;29828,28415
5;3;2003;35702,31061
6;3;2003;76368,41071
7;3;2003;38708,19903
9;3;2003;129096,3742
10;3;2003;97641,58812
12;3;2003;86753,94979
13;3;2003;65702,0271
14;3;2003;83975,58685
15;3;2003;140304,2166
16;3;2003;287904,4076
17;3;2003;75952,28498
18;3;2003;64049,09511
19;3;2003;131795,892
20;3;2003;155163,8294
21;3;2003;251819,8841
22;3;2003;226773,8801
23;3;2003;87244,30444
24;3;2003;91748,24921
25;3;2003;122902,2679
26;3;2003;110119,6527
27;3;2003;179676,8556
28;3;2003;162890,1471
29;3;2003;99095,2973
30;3;2003;118990,3998
31;3;2003;149738,6662
32;3;2003;349044,3702
33;3;2003;229837,38
34;3;2003;404839,5634
35;3;2003;575185,3605
36;3;2003;295053,7815
37;3;2003;201054,5057
38;3;2003;197463,2901
39;3;2003;166831,3353
40;3;2003;105533,8865
41;3;2003;135322,638
44;3;2003;112187,1922
48;3;2003;68488,73374
50;3;2003;88510,43868
51;3;2003;42153,38259
52;3;2003;173457,9522
53;3;2003;168130,2701
54;3;2003;443516,1233
55;3;2003;212445,411
56;3;2003;258113,2173
57;3;2003;154693,7536
58;3;2003;341556,159
59;3;2003;328713,1627
60;3;2003;264077,9421
61;3;2003;56314,55179
62;3;2003;146843,6695
64;3;2003;451910,9144
65;3;2003;122025,4063
66;3;2003;130511,5849
71;3;2003;222420,3077
72;3;2003;317193,0102
73;3;2003;153479,7499
74;3;2003;200681,602
75;3;2003;247554,1722
76;3;2003;73143,16617
77;3;2003;138695,7394
78;3;2003;120565,7993
79;3;2003;69737,83754
81;3;2003;64647,29789
82;3;2003;87926,00775
88;3;2003;90135,82616
89;3;2003;108413,7495
90;3;2003;172608,6547
91;3;2003;67742,21905
92;3;2003;7864,424276
93;3;2003;246166,8501
94;3;2003;43466,65769
95;3;2003;32215,03479
96;3;2003;49401,48302
97;3;2003;17459,02809
98;3;2003;12441,59592
99;3;2003;25760,07161
100;3;2003;24408,87353
104;3;2003;19532,94515
105;3;2003;245884,2019
106;3;2003;43125,58018
107;3;2003;38357,36111
108;3;2003;91669,7058
109;3;2003;17254,39474
110;3;2003;144515,9602
111;3;2003;14365,66337
112;3;2003;15834,59016
118;3;2003;89775,05208
119;3;2003;51192,30888
120;3;2003;21287,36864
121;3;2003;25108,6709
122;3;2003;19402,00803
123;3;2003;174167,1494
124;3;2003;57570,81612
125;3;2003;69051,17907
126;3;2003;165417,0005
127;3;2003;20343,5942
128;3;2003;48557,03799
129;3;2003;16863,85871
134;3;2003;267040,3927
135;3;2003;22975,22201
136;3;2003;47742,73775
137;3;2003;27004,89492
138;3;2003;7794,266088
139;3;2003;16415,89512
140;3;2003;23371,01018
141;3;2003;36988,61986
142;3;2003;14711,70848
143;3;2003;121218,9476
144;3;2003;34114,83891
145;3;2003;28953,0856
146;3;2003;195584,8628
151;3;2003;175688,5355
152;3;2003;10489,78106
153;3;2003;19833,66655
154;3;2003;24058,00756
155;3;2003;8530,815287
156;3;2003;10434,44757
157;3;2003;10104,34722
158;3;2003;23338,01139
159;3;2003;50010,95048
165;3;2003;27577,75659
166;3;2003;131022,7416
167;3;2003;31496,63907
168;3;2003;16539,17377
1;4;2003;1548,173852
4;4;2003;29847,24684
5;4;2003;35725,00759
6;4;2003;76416,96029
7;4;2003;38732,80694
9;4;2003;129178,4445
10;4;2003;97703,66167
12;4;2003;86809,10176
13;4;2003;65743,79576
14;4;2003;84028,97253
15;4;2003;140393,412
16;4;2003;288087,4367
17;4;2003;76000,57002
18;4;2003;64089,81295
19;4;2003;131879,6784
20;4;2003;155262,4715
21;4;2003;251979,9732
22;4;2003;226918,0468
23;4;2003;87299,76813
24;4;2003;91806,57619
25;4;2003;122980,4004
26;4;2003;110189,6589
27;4;2003;179791,0814
28;4;2003;162993,7011
29;4;2003;99158,29501
30;4;2003;119066,0454
31;4;2003;149833,8594
32;4;2003;349266,2677
33;4;2003;229983,4942
34;4;2003;405096,9315
35;4;2003;563707,7124
36;4;2003;295241,3556
37;4;2003;201182,3218
38;4;2003;197588,8231
39;4;2003;166937,3947
40;4;2003;105600,9774
41;4;2003;135408,6665
44;4;2003;112258,5128
48;4;2003;68592,81037
50;4;2003;88723,99889
51;4;2003;42207,21966
52;4;2003;173516,1839
53;4;2003;168133,0608
54;4;2003;443802,4605
55;4;2003;212674,6279
56;4;2003;258199,8686
57;4;2003;154724,5595
58;4;2003;341670,823
59;4;2003;328982,1192
60;4;2003;264294,0134
61;4;2003;56360,62894
62;4;2003;146963,8186
64;4;2003;451987,2708
65;4;2003;122198,236
66;4;2003;130620,1398
71;4;2003;222705,3163
