mes;ano;pop
1;2003;14690985,15
2;2003;14691240,87
3;2003;14691756,19
4;2003;14692526,42
5;2003;14693546,98
6;2003;14694813,38
7;2003;14845296,55
8;2003;14845568,55
9;2003;14846216,05
10;2003;14847227,93
11;2003;14848593,45
12;2003;14850302,25
1;2004;14852344,27
2;2004;14854709,83
3;2004;14857389,55
4;2004;14860374,34
5;2004;14863655,46
6;2004;14867224,42
7;2004;14998469,86
8;2004;15011500
9;2004;15024553,06
10;2004;15037629,12
11;2004;15050728,27
12;2004;15063850,6
1;2005;15076996,2
2;2005;15090165,17
3;2005;15103357,59
4;2005;15116573,56
5;2005;15129813,16
6;2005;15143076,5
7;2005;15154831,57
8;2005;15168139,46
9;2005;15181471,35
10;2005;15194827,32
11;2005;15208207,48
12;2005;15221611,91
1;2006;15235040,71
2;2006;15248493,98
3;2006;15261971,83
4;2006;15275474,35
5;2006;15289001,63
6;2006;15302553,79
7;2006;15314526,35
8;2006;15328124,96
9;2006;15341748,96
10;2006;15355398,45
11;2006;15369073,53
12;2006;15382774,32
1;2007;15396500,92
2;2007;15410253,43
3;2007;15424031,96
4;2007;15437836,63
5;2007;15451667,54
6;2007;15465524,79
7;2007;15477709,67
8;2007;15491612,93
9;2007;15505542,83
10;2007;15519499,47
11;2007;15533482,98
12;2007;15547493,47
1;2008;15561531,05
2;2008;15575595,84
3;2008;15589687,96
4;2008;15603807,51
5;2008;15617954,63
6;2008;15632129,42
7;2008;15644548,76
8;2008;15658771,68
9;2008;15673022,59
10;2008;15687301,6
11;2008;15701608,85
12;2008;15715944,45
1;2009;15730308,52
2;2009;15744701,21
3;2009;15759122,62
4;2009;15773572,88
5;2009;15788052,13
6;2009;15802560,48
7;2009;15815223,78
8;2009;15828662,64
9;2009;15842126,59
10;2009;15855615,74
11;2009;15869130,18
12;2009;15882670,02
1;2010;15896235,36
2;2010;15909826,32
3;2010;15923443
4;2010;15937085,5
5;2010;15950753,94
6;2010;15964448,42
7;2010;15978169,05
8;2010;15989929
9;2010;16004887,07
10;2010;16019876,46
11;2010;16034897,29
12;2010;16049949,71
1;2011;16065033,88
2;2011;16080149,93
3;2011;16095298,02
4;2011;16110478,29
5;2011;16125690,89
6;2011;16140935,97
7;2011;16112678
8;2011;16122568,58
9;2011;16132469,52
10;2011;16142380,84
11;2011;16152302,54
12;2011;16162234,66
1;2012;16172177,21
2;2012;16182130,21
3;2012;16192093,68
4;2012;16202067,63
5;2012;16212052,08
6;2012;16222047,06
7;2012;16231365
8;2012;16242849,42
9;2012;16254347,71
10;2012;16265859,91
11;2012;16277386,04
12;2012;16288926,14
1;2013;16300480,22
2;2013;16312048,32
3;2013;16323630,48
4;2013;16335226,7
5;2013;16346837,03
6;2013;16358461,5
7;2013;16369178
8;2013;16376844,25
9;2013;16384518,08
10;2013;16392199,5
11;2013;16399888,52
12;2013;16407585,17
1;2014;16415289,44
2;2014;16423001,36
3;2014;16430720,93
4;2014;16438448,18
5;2014;16446183,1
6;2014;16453925,73
7;2014;16461173
8;2014;16468577,25
9;2014;16475988,57
10;2014;16483406,98
11;2014;16490832,47
12;2014;16498265,08
1;2015;16505704,8
2;2015;16513151,65
3;2015;16520605,65
4;2015;16528066,79
5;2015;16535535,1
6;2015;16543010,59
7;2015;16550024
8;2015;16557188,33
9;2015;16564362,36
10;2015;16571546,1
11;2015;16578739,56
12;2015;16585942,76
1;2016;16593155,71
2;2016;16600378,43
3;2016;16607610,93
4;2016;16614853,23
5;2016;16622105,33
6;2016;16629367,26
7;2016;16635996
8;2016;16642909,33
9;2016;16649822,67
10;2016;16656736
11;2016;16663649,33
12;2016;16670562,67
1;2017;16677476
2;2017;16684389,33
3;2017;16691302,67
4;2017;16698216
5;2017;16705129,33
6;2017;16712042,67
7;2017;16718956
8;2017;16755706,33
9;2017;16792456,67
10;2017;16829207
11;2017;16865957,33
12;2017;16902707,67
1;2018;16939458
2;2018;16976208,33
3;2018;17012958,67
4;2018;17049709
5;2018;17086459,33
6;2018;17123209,67
7;2018;17159960
8;2018;17168708,58
9;2018;17177457,17
10;2018;17186205,75
11;2018;17194954,33
12;2018;17203702,92
1;2019;17212451,5
2;2019;17221200,08
3;2019;17229948,67
4;2019;17238697,25
5;2019;17247445,83
6;2019;17256194,42
7;2019;17264943
8;2019;17273380,17
9;2019;17281817,33
10;2019;17290254,5
11;2019;17298691,67
12;2019;17307128,83
1;2020;17315566
2;2020;17324003,17
3;2020;17332440,33
4;2020;17340877,5
5;2020;17349314,67
6;2020;17357751,83
7;2020;17366189
8;2020;17358163,7
9;2020;17350138,39
10;2020;17342113,09
11;2020;17334087,79
12;2020;17326062,48
1;2021;17318037,18
2;2021;17310011,87
3;2021;17301986,57
4;2021;17293961,27
5;2021;17285935,96
6;2021;17277910,66
7;2021;17269885,36
8;2021;17455252,33
9;2021;17447155,67
10;2021;17439059
11;2021;17430962,33
12;2021;17422865,67
1;2022;17414769
2;2022;17406672,33
3;2022;17398575,67
4;2022;17390479
5;2022;17382382,33
6;2022;17374285,67
7;2022;17366189
