cod_munic;munic;pop_munic;mes;ano
3300100;Angra dos Reis;147264;7;2006
3300159;Aperibé;9271;7;2006
3300209;Araruama;99259;7;2006
3300225;Areal;10787;7;2006
3300233;Armação dos Búzios;23347;7;2006
3300258;Arraial do Cabo;26111;7;2006
3300308;Barra do Piraí;92216;7;2006
3300407;Barra Mansa;174955;7;2006
3300456;Belford Roxo;455065;7;2006
3300506;Bom Jardim;24224;7;2006
3300605;Bom Jesus do Itabapoana;34698;7;2006
3300704;Cabo Frio;159702;7;2006
3300803;Cachoeiras de Macacu;51904;7;2006
3300902;Cambuci;14764;7;2006
3301009;Campos dos Goytacazes;440142;7;2006
3301108;Cantagalo;19832;7;2006
3300936;Carapebus;11235;7;2006
3301157;Cardoso Moreira;12598;7;2006
3301207;Carmo;16542;7;2006
3301306;Casimiro de Abreu;29321;7;2006
3300951;Comendador Levy Gasparian;8077;7;2006
3301405;Conceição de Macabu;20204;7;2006
3301504;Cordeiro;19678;7;2006
3301603;Duas Barras;10688;7;2006
3301702;Duque de Caxias;822275;7;2006
3301801;Engenheiro Paulo de Frontin;12797;7;2006
3301850;Guapimirim;45571;7;2006
3301876;Iguaba Grande;19356;7;2006
3301900;Itaboraí;205241;7;2006
3302007;Itaguaí;97321;7;2006
3302056;Italva;13467;7;2006
3302106;Itaocara;22941;7;2006
3302205;Itaperuna;92083;7;2006
3302254;Itatiaia;27092;7;2006
3302270;Japeri;90405;7;2006
3302304;Laje do Muriaé;7653;7;2006
3302403;Macaé;173011;7;2006
3302452;Macuco;5112;7;2006
3302502;Magé;218468;7;2006
3302601;Mangaratiba;31300;7;2006
3302700;Maricá;104047;7;2006
3302809;Mendes;17674;7;2006
3302858;Mesquita;168242;7;2006
3302908;Miguel Pereira;24343;7;2006
3303005;Miracema;26931;7;2006
3303104;Natividade;15099;7;2006
3303203;Nilópolis;155929;7;2006
3303302;Niterói;476117;7;2006
3303401;Nova Friburgo;178566;7;2006
3303500;Nova Iguaçu;783554;7;2006
3303609;Paracambi;44342;7;2006
3303708;Paraíba do Sul;39573;7;2006
3303807;Paraty;34106;7;2006
3303856;Paty do Alferes;25778;7;2006
3303906;Petrópolis;292129;7;2006
3303955;Pinheiral;21364;7;2006
3304003;Piraí;24548;7;2006
3304102;Porciúncula;17013;7;2006
3304110;Porto Real;14621;7;2006
