"cod_upp","upp","pop_2010"
"1","Santa Marta","  4,760 "
"2","Cidade de Deus","  44,046 "
"3","Batam","  18,904 "
"4","Chapéu Mangueira / Babilônia","  3,928 "
"5","Pavão-Pavãozinho","  13,340 "
"6","Tabajaras","  8,480 "
"7","Providência","  15,354 "
"8","Borel","  18,032 "
"9","Formiga","  6,057 "
"10","Andaraí","  14,625 "
"11","Salgueiro","  5,038 "
"12","Turano","  14,249 "
"13","São João / Matriz / Queto","  11,048 "
"14","Coroa / Fallet / Fogueteiro","  13,154 "
"15","Escondidinho / Prazeres","  8,353 "
"16","São Carlos","  19,589 "
"17","Mangueira","  17,774 "
"18","Macacos","  22,553 "
"19","Vidigal","  12,237 "
"20","Nova Brasília","  33,084 "
"21","Fazendinha","  21,950 "
"22","Adeus / Baiana","  11,744 "
"23","Alemão","  16,462 "
"24","Chatuba","  11,831 "
"25","Fé / Sereno","  5,391 "
"26","Parque Proletário","  17,573 "
"27","Vila Cruzeiro","  20,112 "
"28","Rocinha","  70,491 "
"29","Jacarezinho","  28,437 "
"30","Manguinhos","  24,766 "
"31","Barreira do Vasco / Tuiuti","  16,331 "
"32","Caju","  16,694 "
"33","Cerro-Corá","  2,922 "
"34","Arará / Mandela","  19,711 "
"35","Lins","  14,148 "
"36","Camarista Méier","  15,337 "
"37","Mangueirinha","  28,442 "
"38","Vila Kennedy","  40,218 "
